"Name","GlobalID","Level","TID","InfoTID","DisableProduction","SpellForgeLevel","LaboratoryLevel","HousingSpace","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeResource","UpgradeCost","BoostTimeMS","SpeedBoost","SpeedBoost2","HousingLimit","JumpBoostMS","DamageBoostPercent","BuildingDamageBoostPercent","Damage","TroopDamagePermil","BuildingDamagePermil","ExecuteHealthPermil","DamagePermilMin","PreferredDamagePermilMin","Radius","NumberOfHits","RandomRadius","TimeBetweenHitsMS","IconSWF","IconExportName","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2Delay","DeployEffect2","ChargingEffect","HitEffect","RandomRadiusAffectsOnlyGfx","FreezeTimeMS","SpawnObstacle","NumObstacles","StrengthWeight","ProductionBuilding","TargetInfoString","PreferredTarget","PreferredTargetDamageMod","HeroDamageMultiplier","GuardianDamageMultiplier","ShieldProjectileSpeed","ShieldProjectileDamageMod","ExtraHealthPermil","ExtraHealthMin","ExtraHealthMax","PoisonDPS","PoisonIncreaseSlowly","AttackSpeedBoost","BoostLinkedToPoison","PoisonAffectAir","ScaleDeployEffects","ImmortalTime","ShieldTime","ShieldProtectionPercent","EnemyDeployEffect","SnapToGrid","DuplicateHousing","DuplicateLifetime","SummonTroop","UnitsToSpawn","SpawnUpgradeLevel","ShrinkReduceSpeedRatio","ShrinkHitpointsRatio","SpawnDuration","SpawnFirstGroupSize","DamageTHPercent","DisableDonate","ScaleByTH","EnabledByCalendar","VillageType","PauseCombatComponentsMs","UpgradeLevelByTH","ChangeTeamTime","InvisibilityTime","FreezeOuterTimeMS","ConeAngle","FreezePercent","MinRadius","MinDamage","StunTimeMS","GiveSpecialAbility","GivenSpecialAbilityLevel","TornadoForce1","TornadoForce2","TornadoForce3","TornadoForce4","TornadoForce5","TornadoForceAir1","TornadoForceAir2","TornadoForceAir3","TornadoForceAir4","TornadoForceAir5","TornadoRotationSpeed","TornadoSpeedTowardsCenter","TornadoInnerRadius","TornadoInnerForcePercent","TornadoOuterForcePercent","ChainSpell","ChainSpellLevel","BoostDefenders","ImmunitySiegeMachines","ImmunityHeroes","ImmunityOtherCharacters","ImmunityTH_CC","ImmunityStorages","ImmunityWalls","ImmunityOtherBuildings","ImmunityTotems","ImmunityGuardians","HideImmunityVFX","CapitalAttackCount","DestroyWalls","RecallHousing","PreviewScenario","TombStone","NumTombStones","Overgrowth","TargetingRadius","TargetedProjectile","TargetedAgainEffect","MasterAura","ResurrectHitpointPercentage","EndEffect","StatBars","NoClipping","DebrisProjectileFindNewTarget","DebrisProjectileCenter","DebrisProjectileCenterNearestBuilding","DebrisCountLimit","DoesNotAffectOwner"
,,2,,,,,11,,,,,180,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,
,,3,,,,,12,,,,,192,,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,
,,4,,,,,13,,,,,216,,13000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,
,,5,,,,,14,,,,,264,,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,
,,6,,,,,15,,,,,384,,29000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,
,,7,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,
"Revive",26000098,1,"TID_SPELL_REVIVE","TID_SPELL_REVIVE_INFO",,8,1,2,800,300,400,168,"Elixir",18000000,,,,,,,,,,,,,,0,1,0,0,"sc/ui.sc","icon_spell_hero_revive","icon_spell_hero_revive","hero_revive_bottle_effect","hero_revive_top_layer",,"hero_revive_ground_layer",,,"TRUE",,,,,"Spell Factory","TID_PLAYER_PROFILE_HEROES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,"TRUE",,"TRUE","TRUE","TRUE",,,,,,"SpellRevive",,,,800,"Hero Revive Projectile",,,60,,,,,,,,
,,2,,,,,13,,,,,192,,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,
,,3,,,,,14,,,,,276,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
,,4,,,,,15,,,,,384,,29500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,
,,5,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,
"Totem Spell",26000120,1,"TID_TOTEM_SPELL","TID_TOTEM_SPELL_INFO",,9,1,1,800,0,0,288,"Elixir",21000000,,,,,,,,,,,,,,500,1,0,100,"sc/ui.sc","icon_spell_meteor_tower","icon_spell_meteor_tower","ps_spells_meteortotem_predeploy","ps_spells_meteortotem_Impact",,,,,"TRUE",200,,,2000,"Spell Factory","TID_PREFERRED_TARGET_ANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,"TotemSummon",1,,"TRUE",,,,"TRUE","TRUE",,"TRUE",,"TRUE",,,,"SpellTotem",,,,,,,,,,"HousingSpace;StunTime;UnitsSpawnedByChainSpellHP",,,,,,
,,2,,,,,14,,,,,336,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,15,,,,,384,,23000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poison",26000009,1,"TID_POISON_CLOUD","TID_POISON_CLOUD_INFO",,1,1,1,800,300,400,6,"DarkElixir",5000,500,-26,-26,,,,,,,,,,,400,40,0,400,"sc/ui.sc","icon_spell_toxic","icon_spell_toxic","toxic_Predeploy","Toxic deploy ground halloween",,"Toxic deploy halloween",,,"TRUE",,,,1200,"Dark Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,5,30,,,,,,90,"TRUE",-35,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,"TRUE","TRUE","TRUE","TRUE",,,,,,,"SpellPoison",,,,,,,,,,"DamagePoison;MovementSpeed;AttackSpeed;DamageType;HousingSpace;TargetType;SpellTime",,,,,,
,,2,,,,,6,,,,,18,,10000,500,-30,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,115,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,7,,,,,48,,21500,500,-34,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,145,,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,8,,,,,72,,35000,500,-38,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,180,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,9,,,,,96,,55000,500,-40,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,220,,-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,10,,,,,120,,77500,500,-42,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,260,,-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,11,,,,,156,,100000,500,-44,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,280,,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,12,,,,,168,,135000,500,-46,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,300,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,13,,,,,192,,175000,500,-48,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,320,,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,14,,,,,232,,230000,500,-50,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,340,,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,15,,,,,348,,350000,500,-51,-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,360,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,16,,,,,,,,500,-52,-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,380,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earthquake",26000010,1,"TID_EARTHQUAKE","TID_EARTHQUAKE_INFO",,2,1,1,800,300,400,12,"DarkElixir",6000,,,,,,,,,0,29,,,,350,5,200,400,"sc/ui.sc","icon_spell_earthquake","icon_spell_earthquake","Earthquake_Predeploy","EarthQuake_deploy_ground_0",,"EarthQuake_deploy_0",,,"TRUE",,,,1200,"Dark Spell Factory","TID_INFO_TARGET_TYPE_GROUND","Wall",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,"SpellQuake",,,,,,,,,,,,,,,,
,,2,,,,,6,,,,,24,,12000,,,,,,,,,0,34,,,,380,,,400,,,,,"EarthQuake_deploy_ground",,"EarthQuake_deploy",,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,7,,,,,72,,25500,,,,,,,,,0,42,,,,410,,,400,,,,,"EarthQuake_deploy_ground_2",,"EarthQuake_deploy_2",,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,8,,,,,84,,42000,,,,,,,,,0,50,,,,440,,,400,,,,,"EarthQuake_deploy_ground_3",,"EarthQuake_deploy_3",,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,9,,,,,192,,120000,,,,,,,,,0,58,,,,470,,,400,,,,,"EarthQuake_deploy_ground_4",,"EarthQuake_deploy_4",,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,12,,,,,216,,200000,,,,,,,,,10,58,,,,470,,,400,,,,,"EarthQuake_deploy_ground_4",,"EarthQuake_deploy_4",,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,14,,,,,324,,330000,,,,,,,,,20,58,,,,470,,,400,,,,,"EarthQuake_deploy_ground_4",,"EarthQuake_deploy_4",,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,16,,,,,,,,,,,,,,,,29,58,,,,470,,,400,,,,,"EarthQuake_deploy_ground_4",,"EarthQuake_deploy_4",,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haste",26000011,1,"TID_SPEEDUP","TID_SPEEDUP_INFO",,3,1,1,800,300,400,24,"DarkElixir",8000,1000,28,14,,,,,,,,,,,400,41,200,250,"sc/ui.sc","icon_spell_speedup","icon_spell_speedup","speedup_Predeploy","Speedup_deploy_lvl1",,"Speedup_deploy_top_lvl1",,,"TRUE",,,,1200,"Dark Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,"TRUE",,,,,,"SpellBooster",,,,,,,,,,,,,,,,
,,2,,,,,7,,,,,48,,17000,,34,17,,,,,,,,,,,400,61,,,,,,,"Speedup_deploy_lvl2",,"Speedup_deploy_top_lvl2",,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,8,,,,,72,,30000,,40,20,,,,,,,,,,,400,81,,,,,,,"Speedup_deploy_lvl3",,"Speedup_deploy_top_lvl3",,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,8,,,,,96,,38500,,46,23,,,,,,,,,,,400,101,,,,,,,"Speedup_deploy_lvl4",,"Speedup_deploy_top_lvl4",,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,9,,,,,216,,200000,,52,26,,,,,,,,,,,400,121,,,,,,,"Speedup_deploy_lvl5",,"Speedup_deploy_top_lvl5",,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,15,,,,,300,,320000,,56,28,,,,,,,,,,,400,121,,,,,,,"Speedup_deploy_lvl5",,"Speedup_deploy_top_lvl5",,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,16,,,,,,,,,56,28,,,,,,,,,,,500,121,,,,,,,"Speedup_deploy_lvl6",,"Speedup_deploy_top_lvl6",,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skeleton Spell",26000017,1,"TID_CREATE_SKELETONS_SPELL","TID_CREATE_SKELETONS_SPELL_INFO",,4,1,1,800,0,0,12,"DarkElixir",11000,,,,,,,,,,,,,,225,1,200,300,"sc/ui.sc","icon_spell_skeleton","icon_spell_skeleton","skele_Predeploy","SkeleSpell Summon1",,,,,,,,,1200,"Dark Spell Factory","TID_INFO_TARGET_TYPE_GROUND",,,,,,,,,,,,,,,,,,,,,,,"Spell Shielded Skeleton","12","1",,,"8000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpellSkeleton",,,,,,,,,,,,,,,,
,,2,,,,,8,,,,,24,,17000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon2",,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,,,"9000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,8,,,,,48,,25000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon3",,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,,,"10000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,9,,,,,60,,40000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon4",,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,"11000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,10,,,,,72,,50000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon5",,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,"12000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,10,,,,,96,,75000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon6",,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,"17",,,,"13000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,11,,,,,144,,135000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon7",,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,"14000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon8",,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,,,"15000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bat Spell",26000028,1,"TID_SPELL_BATS","TID_SPELL_BATS_INFO",,5,1,1,800,0,0,18,"DarkElixir",13000,0,0,0,,,,,0,,,,,,225,1,200,300,"sc/ui.sc","icon_spell_bats","icon_spell_bats","bat_Predeploy","BatSpell Summon1",,,,,,,,,1300,"Dark Spell Factory","TID_BUILDING_CLASS_DEFENSE",,,,,,,,,,,,,,,,,,,,,,,"Spell Bat","7","1",,,"3000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spell Bat",,,,,,,,,,,,,,,,
,,2,,,,,8,,,,,36,,25500,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon2",,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,"4200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,8,,,,,54,,35000,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon3",,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,"5400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,9,,,,,96,,47500,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon4",,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,"8400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,10,,,,,168,,140000,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon5",,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,"11400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,13,,,,,204,,220000,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon6",,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,"22",,,,"12000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,15,,,,,312,,300000,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon7",,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,"23",,,,"12600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BatSpell Summon8",,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,"25",,,,"13800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overgrowth",26000070,1,"TID_SPELL_OVERGROWTH","TID_SPELL_OVERGROWTH_INFO",,6,1,2,800,300,400,120,"DarkElixir",62500,,,,,,,,,,,,,,600,1,400,0,"sc/ui.sc","icon_spell_overgrowth","icon_spell_overgrowth","Entangle_predeploy","Entangle_area_deploy",,"entangle_spell_circle_radius",,,"TRUE",22000,,,1600,"Dark Spell Factory","TID_INFO_TARGET_TYPE_GROUND",,,,,,,,,,,,,,,,,22000,100,,,,,,,,,,,,,,,,,,,,22000,22000,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE","TRUE",,,"TRUE",,"TRUE","TRUE",,,,,"SpellOvergrowth","OvergrowthGrass",40,"TRUE",,,,,,,,,,,,,
,,2,,,,,10,,,,,204,,125000,,,,,,,,,,,,,,,,,,,,,,,,"entangle_spell_circle_radius_lvl2",,,,23000,,,1700,,,,,,,,,,,,,,,,,,,23000,,,,,,,,,,,,,,,,,,,,,23000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,12,,,,,240,,175000,,,,,,,,,,,,,,,,,,,,,,,,"entangle_spell_circle_radius_lvl3",,,,24000,,,1900,,,,,,,,,,,,,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,24000,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,14,,,,,384,,360000,,,,,,,,,,,,,,,,,,,,,,,,"entangle_spell_circle_radius_lvl4",,,,25000,,,2100,,,,,,,,,,,,,,,,,,,25000,,,,,,,,,,,,,,,,,,,,,25000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"entangle_spell_circle_radius_lvl5",,,,26000,,,2300,,,,,,,,,,,,,,,,,,,26000,,,,,,,,,,,,,,,,,,,,,26000,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ice Block",26000109,1,"TID_ICE_BLOCK_SPELL","TID_ICE_BLOCK_SPELL_INFO",,7,1,1,800,300,400,240,"DarkElixir",140000,,,,,,,,,,,,,,500,1,0,0,"sc/ui.sc","icon_spell_ice_block","icon_spell_ice_block","IceBlock predeploy","ps_spells_iceblock_explode",100,"ps_spells_iceblock_Area",,,,7000,,,1800,"Dark Spell Factory","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,"IceBlockSpell",1,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,"TRUE",,,,,,"SpellIceBlock",,,,,,,,,"ps_spells_iceblock_Despawn","GivenAbilityShieldPercent;DamageType;HousingSpace;TargetType;GivenAbilityDuration",,,,,,
,,2,,,,,12,,,,,264,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,,13,,,,,288,,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
